header_id	DOTH41b_SF_C	DOTH42b_SF_C	DOTH43b_SF_C	DOTH44b_SF_C	DOTH45b_SF_C	DOTH46b_SF_C
>HMPREF1227_0204 collagen triple helix repeat protein [Streptococcus pyogenes GA41046]	NA	NA	23324300	7056910	NA	11117700
>HMPREF1227_0710 DivIVA domain protein [Streptococcus pyogenes GA41046]	7953780	NA	42345800	NA	1080340	3272720
>HMPREF1231_0493 hypothetical protein [Streptococcus pyogenes GA06023]	NA	NA	NA	NA	NA	NA
>HMPREF1316_0230 penicillin-binding protein 2 [Olsenella profusa F0195]	NA	NA	NA	38905.1	NA	NA
>HMPREF1316_0360 ABC transporter, ATP-binding protein [Olsenella profusa F0195]	NA	54175000	35987900	26133700	26683900	29120700
>HMPREF1317_0092 exonuclease [Actinomyces georgiae F0490]	NA	NA	2644330	NA	NA	NA
>HMPREF1317_0510 galactokinase [Actinomyces georgiae F0490]	NA	NA	NA	NA	NA	NA
>HMPREF1317_0746 PF13274 family protein [Actinomyces georgiae F0490]	NA	NA	NA	NA	NA	NA
>HMPREF1317_1865 fructosamine kinase domain protein [Actinomyces georgiae F0490]	NA	NA	NA	NA	NA	NA
>HMPREF1317_2226 putative dTDP-4-dehydrorhamnose reductase [Actinomyces georgiae F0490]	NA	65186000	NA	26228600	NA	37070000
>HMPREF1318_0189 DNA-binding helix-turn-helix protein [Actinomyces massiliensis F0489]	3766100	NA	NA	4466620	NA	2199490
>HMPREF1318_0261 periplasmic binding protein and sugar binding domain of the LacI family protein [Actinomyces massiliensis F0489]	29457800	NA	NA	NA	NA	6845250
>HMPREF1318_0304 UDP-N-acetylglucosamine 2-epimerase [Actinomyces massiliensis F0489]	NA	NA	3462270	3637020	NA	3718250
>HMPREF1318_1095 DNA-binding protein HB1 [Actinomyces massiliensis F0489]	NA	NA	16642400	NA	NA	NA
>HMPREF1318_1615 OmpA family protein [Actinomyces massiliensis F0489]	NA	NA	NA	840703	NA	395284
>HMPREF1318_2069 hypothetical protein [Actinomyces massiliensis F0489]	NA	NA	NA	254255000	238656000	250160000
>HMPREF1318_2415 fructose-bisphosphate aldolase class-I-like protein [Actinomyces massiliensis F0489]	NA	NA	16840700	NA	NA	NA
>HMPREF1319_1689 dTDP-4-dehydrorhamnose reductase [Capnocytophaga ochracea str. Holt 25]	NA	NA	NA	NA	8255570	3271830
>HMPREF1320_0061 hypothetical protein [Capnocytophaga sp. oral taxon 335 str. F0486]	NA	NA	NA	NA	NA	NA
>HMPREF1320_1253 N-6 DNA Methylase [Capnocytophaga sp. oral taxon 335 str. F0486]	NA	NA	NA	NA	NA	NA
>HMPREF1322_0422 chaperonin GroL [Porphyromonas gingivalis W50]	1294460	1915760	20866400	1639280	NA	NA
>HMPREF1322_0514 phosphoserine transaminase [Porphyromonas gingivalis W50]	774716	756932	NA	611866	NA	NA
>HMPREF1322_0578 putative protease YdcP [Porphyromonas gingivalis W50]	NA	NA	NA	26228600	11536100	NA
>HMPREF1322_0632 outer membrane protein 41 [Porphyromonas gingivalis W50]	27436200	38347500	22379600	25010900	NA	NA
>HMPREF1322_0633 outer membrane protein 40 [Porphyromonas gingivalis W50]	27436200	38347500	22379600	25010900	NA	NA
>HMPREF1322_0639 succinate-semialdehyde dehydrogenase [NAD(P)+] [Porphyromonas gingivalis W50]	6132350	4520910	1632150	1983550	NA	NA
>HMPREF1322_0914 cleaved adhesin domain protein [Porphyromonas gingivalis W50]	NA	3084450	NA	NA	NA	NA
>HMPREF1323_0200 30S ribosomal protein S13 [Porphyromonas sp. oral taxon 279 str. F0450]	559713	7886640	NA	636093	NA	NA
>HMPREF1323_0213 arylsulfatase [Porphyromonas sp. oral taxon 279 str. F0450]	NA	NA	NA	258035	1123910	404204
>HMPREF1323_0810 starch synthase domain protein [Porphyromonas sp. oral taxon 279 str. F0450]	801577	3195330	1239860	24304800	NA	1453510
>HMPREF1323_1055 NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit [Porphyromonas sp. oral taxon 279 str. F0450]	NA	NA	NA	NA	NA	NA
>HMPREF1323_1171 succinate CoA transferase [Porphyromonas sp. oral taxon 279 str. F0450]	NA	NA	NA	3744590	6819560	2903540
>HMPREF1323_1370 cardiolipin synthetase [Porphyromonas sp. oral taxon 279 str. F0450]	NA	NA	NA	NA	725037	NA
>HMPREF1324_0092 alpha-keto-acid decarboxylase [Rothia aeria F0474]	NA	NA	NA	NA	NA	493034
>HMPREF1324_0190 hypothetical protein [Rothia aeria F0474]	NA	NA	NA	NA	NA	NA
>HMPREF1324_0444 translation initiation factor IF-2 [Rothia aeria F0474]	NA	NA	NA	NA	NA	NA
>HMPREF1324_1439 hypothetical protein [Rothia aeria F0474]	NA	578376000	NA	254255000	NA	250160000
>HMPREF1324_1585 aminotransferase, class I/II [Rothia aeria F0474]	NA	NA	NA	1757570	715298	NA
>HMPREF1324_1590 DNA-binding response regulator MtrA [Rothia aeria F0474]	NA	NA	NA	4466620	NA	2199490
>HMPREF1324_1995 peptidase, S8/S53 family / SLH domain multi-domain protein [Rothia aeria F0474]	NA	NA	NA	NA	2109750	NA
>HMPREF1324_2172 valine--tRNA ligase [Rothia aeria F0474]	NA	2889640	2956620	2767330	NA	NA
>HMPREF1324_2176 hypothetical protein [Rothia aeria F0474]	NA	NA	NA	NA	238656000	NA
>HMPREF1527_00485 DNA-3-methyladenine glycosylase [Atopobium sp. oral taxon 199 str. F0494]	NA	NA	15563300	3417570	NA	NA
>HMPREF1527_00734 phosphoribosylformylglycinamidine synthase [Atopobium sp. oral taxon 199 str. F0494]	NA	NA	NA	NA	NA	NA
>HMPREF1527_01117 hypothetical protein [Atopobium sp. oral taxon 199 str. F0494]	NA	NA	NA	NA	NA	NA
>HMPREF1529_00721 hypothetical protein [Microbacterium sp. oral taxon 186 str. F0373]	NA	NA	NA	254255000	NA	NA
>HMPREF1529_00748 hypothetical protein [Microbacterium sp. oral taxon 186 str. F0373]	623732000	578376000	460179000	254255000	238656000	250160000
>HMPREF1529_01122 hypothetical protein [Microbacterium sp. oral taxon 186 str. F0373]	623732000	578376000	460179000	254255000	NA	250160000
>HMPREF1529_01514 hypothetical protein [Microbacterium sp. oral taxon 186 str. F0373]	623732000	578376000	460179000	254255000	NA	NA
>HMPREF1529_01529 hypothetical protein [Microbacterium sp. oral taxon 186 str. F0373]	NA	578376000	NA	254255000	238656000	250160000
>HMPREF1529_01919 hypothetical protein [Microbacterium sp. oral taxon 186 str. F0373]	NA	NA	NA	NA	NA	NA
>HMPREF1529_02840 tRNA (adenine57-N1/adenine58-N1)-methyltransferase [Microbacterium sp. oral taxon 186 str. F0373]	NA	NA	NA	747901	NA	NA
>HMPREF1531_00326 hypothetical protein [Propionibacterium sp. oral taxon 192 str. F0372]	NA	NA	NA	254255000	238656000	NA
>HMPREF1531_01417 hypothetical protein [Propionibacterium sp. oral taxon 192 str. F0372]	NA	NA	460179000	254255000	238656000	250160000
>HMPREF1531_01701 parallel beta-helix [Propionibacterium sp. oral taxon 192 str. F0372]	831194000	643386000	2733910000	860697000	218196000	1872740000
>HMPREF1531_02478 hypothetical protein [Propionibacterium sp. oral taxon 192 str. F0372]	NA	NA	NA	254255000	238656000	250160000
>HMPREF6123_0328 ribosomal protein L7Ae [Oribacterium sinus F0268]	NA	8233450	NA	NA	3232570	NA
>HMPREF6123_0497 Inosine-uridine preferring nucleoside hydrolase [Oribacterium sinus F0268]	NA	NA	NA	NA	299962	NA
>HMPREF6123_0619 branched-chain amino acid ABC transporter, permease protein [Oribacterium sinus F0268]	NA	NA	NA	NA	NA	149053
>HMPREF6123_0642 hypothetical protein [Oribacterium sinus F0268]	NA	NA	NA	NA	NA	NA
>HMPREF6123_1513 histidine kinase A domain protein [Oribacterium sinus F0268]	NA	NA	50278800	19509300	2360950	46183300
>HMPREF6745_1077 hypothetical protein [Prevotella sp. oral taxon 472 str. F0295]	NA	NA	NA	254255000	NA	250160000
>HMPREF6745_1205 hypothetical protein [Prevotella sp. oral taxon 472 str. F0295]	623732000	578376000	460179000	254255000	238656000	250160000
>HMPREF7215_0996 histidinol dehydrogenase [Pyramidobacter piscolens W5455]	NA	NA	NA	NA	NA	NA
>HMPREF7215_1754 hypothetical protein [Pyramidobacter piscolens W5455]	623732000	578376000	460179000	254255000	NA	250160000
>HMPREF7215_1992 ABC transporter, permease family protein [Pyramidobacter piscolens W5455]	NA	54175000	35987900	26133700	26683900	29120700
>HMPREF7215_2348 histidine ammonia-lyase [Pyramidobacter piscolens W5455]	22456900	11792000	50278800	19509300	NA	46183300
>HMPREF7215_2517 hypothetical protein [Pyramidobacter piscolens W5455]	NA	NA	460179000	254255000	238656000	250160000
>HMPREF7215_2692 putative 5-methyltetrahydrofolate--homocysteine methyltransferase [Pyramidobacter piscolens W5455]	NA	NA	NA	NA	NA	NA
>HMPREF8573_1777 sugar ABC superfamily ATP binding cassette transporter, ABC protein [Streptococcus sanguinis ATCC 29667]	NA	NA	NA	NA	2193100	NA
>HMPREF8578_1592 hypothetical protein [Streptococcus oralis ATCC 49296]	NA	578376000	NA	NA	NA	NA
>HMPREF9004_0120 cell division protein FtsQ [Actinomyces cardiffensis F0333]	NA	NA	NA	NA	NA	NA
>HMPREF9004_0302 hypothetical protein [Actinomyces cardiffensis F0333]	NA	NA	NA	NA	NA	NA
>HMPREF9004_0934 membrane protein [Actinomyces cardiffensis F0333]	NA	NA	NA	NA	NA	NA
>HMPREF9004_1439 glyceraldehyde-3-phosphate dehydrogenase [Actinomyces cardiffensis F0333]	65732000	NA	278496000	78448400	NA	NA
>HMPREF9004_1439 glyceraldehyde-3-phosphate dehydrogenase [Actinomyces cardiffensis F0333]	NA	NA	278496000	78448400	NA	43626100
>HMPREF9004_1439 glyceraldehyde-3-phosphate dehydrogenase [Actinomyces cardiffensis F0333]	NA	NA	278496000	NA	NA	NA
>HMPREF9004_1443 phosphoribosylglycinamide formyltransferase 2 [Actinomyces cardiffensis F0333]	NA	NA	7701640	NA	NA	NA
>HMPREF9005_0715 hypothetical protein [Actinomyces sp. oral taxon 178 str. F0338]	NA	NA	NA	254255000	238656000	250160000
>HMPREF9005_1209 hypothetical protein [Actinomyces sp. oral taxon 178 str. F0338]	NA	NA	NA	254255000	238656000	NA
>HMPREF9005_1406 PglZ domain protein [Actinomyces sp. oral taxon 178 str. F0338]	NA	NA	NA	5195590	NA	NA
>HMPREF9006_0118 long-chain-fatty-acid--CoA ligase [Actinomyces sp. oral taxon 180 str. F0310]	NA	NA	NA	NA	NA	NA
>HMPREF9013_0307 hypothetical protein [Bulleidia extructa W1219]	NA	NA	NA	NA	NA	NA
>HMPREF9013_0501 efflux ABC transporter, permease protein [Bulleidia extructa W1219]	2232070	NA	NA	NA	NA	NA
>HMPREF9013_0805 hypothetical protein [Bulleidia extructa W1219]	NA	NA	NA	NA	NA	NA
>HMPREF9013_1453 HD domain protein [Bulleidia extructa W1219]	NA	NA	2996570	NA	NA	NA
>HMPREF9016_00255 CysP ABC superfamily (peri_bind) thiosulfate transport protein [Neisseria sp. oral taxon 014 str. F0314]	NA	NA	NA	NA	NA	NA
>HMPREF9016_00379 transporter, small conductance mechanosensitive ion channel MscS family protein [Neisseria sp. oral taxon 014 str. F0314]	NA	NA	NA	NA	NA	NA
>HMPREF9016_02193 hypothetical protein [Neisseria sp. oral taxon 014 str. F0314]	623732000	578376000	NA	NA	NA	NA
>HMPREF9020_00078 dimethyladenosine transferase [Scardovia inopinata F0304]	2459710	3438420	NA	1865660	NA	NA
>HMPREF9020_00858 1-acylglycerol-3-phosphate O-acyltransferase [Scardovia inopinata F0304]	NA	NA	NA	NA	NA	NA
>HMPREF9020_01022 hypothetical protein [Scardovia inopinata F0304]	623732000	578376000	460179000	254255000	NA	250160000
>HMPREF9021_00379 HAD hydrolase, family IB [Simonsiella muelleri ATCC 29453]	NA	NA	NA	NA	NA	NA
>HMPREF9021_00576 hypothetical protein [Simonsiella muelleri ATCC 29453]	NA	578376000	460179000	254255000	238656000	250160000
>HMPREF9021_00601 lipopolysaccharide heptosyltransferase II [Simonsiella muelleri ATCC 29453]	NA	NA	NA	NA	NA	NA
>HMPREF9021_00830 orotidine 5'-phosphate decarboxylase [Simonsiella muelleri ATCC 29453]	NA	NA	NA	NA	12431900	4486200
>HMPREF9021_01326 glutamyl-tRNA synthetase [Simonsiella muelleri ATCC 29453]	3970100	8342220	NA	598323	1062920	909167
>HMPREF9021_02631 phage tail tape measure protein, TP901 family, core region [Simonsiella muelleri ATCC 29453]	NA	25332100	53757100	NA	NA	NA
>HMPREF9056_00623 dihydrodipicolinate synthase [Actinomyces sp. oral taxon 170 str. F0386]	NA	NA	5466960	NA	NA	733382
>HMPREF9056_01927 HAD hydrolase, family IIA [Actinomyces sp. oral taxon 170 str. F0386]	NA	NA	NA	NA	NA	NA
>HMPREF9056_02209 methyltransferase domain protein [Actinomyces sp. oral taxon 170 str. F0386]	NA	NA	NA	NA	NA	80730.2
>HMPREF9056_02605 TadE-like protein [Actinomyces sp. oral taxon 170 str. F0386]	NA	NA	NA	3250670	NA	744282
>HMPREF9056_02888 phosphopyruvate hydratase [Actinomyces sp. oral taxon 170 str. F0386]	NA	366393	100473000	8463050	NA	3300360
>HMPREF9056_03006 hypothetical protein [Actinomyces sp. oral taxon 170 str. F0386]	NA	NA	NA	NA	NA	NA
>HMPREF9057_01118 glycosyltransferase, group 1 family protein [Actinomyces sp. oral taxon 171 str. F0337]	NA	NA	NA	NA	NA	NA
>HMPREF9057_01292 kinase domain protein [Actinomyces sp. oral taxon 171 str. F0337]	NA	NA	NA	435071	784207	1331150
>HMPREF9058_1044 glycosyltransferase, group 2 family protein [Actinomyces sp. oral taxon 175 str. F0384]	NA	1012170	377866	4649770	6460600	1900170
>HMPREF9058_1884 conserved domain protein [Actinomyces sp. oral taxon 175 str. F0384]	NA	NA	NA	NA	3992970	NA
>HMPREF9058_2093 transcriptional regulator, DeoR family [Actinomyces sp. oral taxon 175 str. F0384]	NA	NA	NA	NA	NA	NA
>HMPREF9058_2442 3-dehydroquinate synthase [Actinomyces sp. oral taxon 175 str. F0384]	NA	NA	NA	NA	NA	NA
>HMPREF9058_2546 hypothetical protein [Actinomyces sp. oral taxon 175 str. F0384]	NA	NA	NA	NA	NA	NA
>HMPREF9061_00555 hypothetical protein [Actinomyces sp. oral taxon 181 str. F0379]	623732000	578376000	460179000	254255000	238656000	250160000
>HMPREF9061_00813 putative 2,5-diketo-D-gluconic acid reductase A [Actinomyces sp. oral taxon 181 str. F0379]	NA	NA	NA	26228600	11536100	37070000
>HMPREF9061_00828 chaperone protein DnaK [Actinomyces sp. oral taxon 181 str. F0379]	NA	NA	NA	NA	1202530	NA
>HMPREF9061_01467 3-dehydroquinate synthase [Actinomyces sp. oral taxon 181 str. F0379]	16991600	15313800	10729200	2932870	NA	NA
>HMPREF9061_01478 putative primosomal protein [Actinomyces sp. oral taxon 181 str. F0379]	NA	NA	68586000	26228600	11536100	37070000
>HMPREF9061_01573 [glutamate--ammonia-ligase] adenylyltransferase [Actinomyces sp. oral taxon 181 str. F0379]	58266800	84007600	2832070	2970380	2932520	2041820
>HMPREF9061_01680 ABC transporter, permease protein [Actinomyces sp. oral taxon 181 str. F0379]	NA	NA	NA	NA	NA	NA
>HMPREF9062_0113 hypothetical protein [Actinomyces sp. oral taxon 448 str. F0400]	623732000	578376000	460179000	254255000	238656000	NA
>HMPREF9062_0309 hypothetical protein [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	NA	NA	NA	NA
>HMPREF9062_0669 chaperone GroEL [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	9005690	NA	NA	NA
>HMPREF9062_0760 NADP-specific glutamate dehydrogenase [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	1991060	NA	NA	NA
>HMPREF9062_1205 PTS family porter, enzyme I [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	4977190	NA	NA	NA
>HMPREF9062_1214 hypothetical protein [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	NA	NA	NA	NA
>HMPREF9062_1528 AAA family ATPase [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	NA	73719.6	NA	NA
>HMPREF9062_1575 glyceraldehyde-3-phosphate dehydrogenase [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	278496000	78448400	NA	NA
>HMPREF9062_2142 1,4-alpha-glucan branching enzyme [Actinomyces sp. oral taxon 448 str. F0400]	NA	NA	966849	NA	NA	NA
>HMPREF9064_1598 arginine ABC superfamily ATP binding cassette transporter, permease protein [Aggregatibacter segnis ATCC 33393]	NA	NA	NA	NA	2720440	NA
>HMPREF9071_0646 tetratricopeptide repeat-containing domain protein [Capnocytophaga sp. oral taxon 338 str. F0234]	NA	NA	NA	NA	NA	NA
>HMPREF9071_2054 hypothetical protein [Capnocytophaga sp. oral taxon 338 str. F0234]	623732000	578376000	460179000	NA	238656000	NA
>HMPREF9071_2243 hypothetical protein [Capnocytophaga sp. oral taxon 338 str. F0234]	NA	NA	460179000	NA	NA	250160000
>HMPREF9071_2411 rhs family protein [Capnocytophaga sp. oral taxon 338 str. F0234]	NA	NA	NA	1532120	2029660	79147.3
>HMPREF9072_00502 hypothetical protein [Capnocytophaga sp. oral taxon 324 str. F0483]	623732000	578376000	460179000	254255000	238656000	NA
>HMPREF9072_01387 hypothetical protein [Capnocytophaga sp. oral taxon 324 str. F0483]	NA	NA	NA	254255000	NA	NA
>HMPREF9072_01693 hypothetical protein [Capnocytophaga sp. oral taxon 324 str. F0483]	NA	NA	NA	NA	NA	NA
>HMPREF9073_01540 ABC-2 type transporter [Capnocytophaga sp. oral taxon 326 str. F0382]	NA	NA	NA	5061260	NA	NA
>HMPREF9075_00715 preprotein translocase, SecY subunit [Capnocytophaga sp. oral taxon 332 str. F0381]	NA	3541260	7034700	NA	739916	1367090
>HMPREF9075_00732 hypothetical protein [Capnocytophaga sp. oral taxon 332 str. F0381]	NA	NA	NA	NA	NA	NA
>HMPREF9075_00878 hypothetical protein [Capnocytophaga sp. oral taxon 332 str. F0381]	NA	NA	460179000	NA	238656000	250160000
>HMPREF9075_01705 Acyltransferase [Capnocytophaga sp. oral taxon 332 str. F0381]	NA	NA	NA	NA	909663	NA
>HMPREF9075_01971 ATP-grasp domain protein [Capnocytophaga sp. oral taxon 332 str. F0381]	NA	NA	NA	1374730	NA	NA
>HMPREF9075_02369 FAD dependent oxidoreductase [Capnocytophaga sp. oral taxon 332 str. F0381]	5251570	NA	NA	2387020	NA	8223150
>HMPREF9075_02690 hypothetical protein [Capnocytophaga sp. oral taxon 332 str. F0381]	623732000	578376000	NA	NA	238656000	250160000
>HMPREF9080_00004 ribosomal protein L9 [Cardiobacterium valvarum F0432]	NA	NA	21238500	5499140	3232570	5768560
>HMPREF9080_01580 pilin [Cardiobacterium valvarum F0432]	2419800	3581360	NA	NA	1062080	NA
>HMPREF9081_0356 hypothetical protein [Centipeda periodontii DSM 2778]	NA	578376000	460179000	254255000	NA	NA
>HMPREF9086_0007 YhiR family protein [Enterobacter hormaechei ATCC 49162]	NA	NA	NA	NA	NA	NA
>HMPREF9086_0729 transposase [Enterobacter hormaechei ATCC 49162]	11673100	14589300	6554490	104533000	806170000	31749900
>HMPREF9086_1602 outer membrane pore protein E [Enterobacter hormaechei ATCC 49162]	NA	NA	22379600	25010900	21312900	16083100
>HMPREF9086_1959 arginine deiminase [Enterobacter hormaechei ATCC 49162]	NA	NA	NA	NA	NA	NA
>HMPREF9086_2186 glucose-6-phosphate isomerase [Enterobacter hormaechei ATCC 49162]	5388780	17074400	9127450	11304700	5644990	11290800
>HMPREF9086_2730 glyceraldehyde-3-phosphate dehydrogenase [Enterobacter hormaechei ATCC 49162]	65732000	76445500	278496000	78448400	46928900	43626100
>HMPREF9086_3354 hypothetical protein [Enterobacter hormaechei ATCC 49162]	NA	NA	NA	NA	NA	NA
>HMPREF9086_3727 YciF like protein [Enterobacter hormaechei ATCC 49162]	4375740	4098620	901439	NA	949209	883489
>HMPREF9086_3777 D-3-phosphoglycerate dehydrogenase [Enterobacter hormaechei ATCC 49162]	NA	NA	19433600	10562300	4147670	15458200
>HMPREF9086_3819 DNA (cytosine-5-)-methyltransferase [Enterobacter hormaechei ATCC 49162]	NA	NA	NA	NA	NA	NA
>HMPREF9086_4053 toluene tolerance efflux ABC superfamily ATP binding cassette transporter, binding protein [Enterobacter hormaechei ATCC 49162]	NA	NA	NA	NA	NA	NA
>HMPREF9086_4371 phosphomannomutase [Enterobacter hormaechei ATCC 49162]	NA	NA	141620	128308	NA	632834
>HMPREF9086_4587 DNA modification methylase [Enterobacter hormaechei ATCC 49162]	NA	NA	78738100	NA	NA	NA
>HMPREF9087_0253 Cof-like hydrolase [Enterococcus casseliflavus ATCC 12755]	7630560	12210100	4696250	NA	29771500	27238300
>HMPREF9087_1016 acetyltransferase, GNAT family [Enterococcus casseliflavus ATCC 12755]	418345	NA	NA	NA	86709.4	NA
>HMPREF9087_1269 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	NA	NA	NA	NA	238656000	250160000
>HMPREF9087_1596 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	NA	NA	NA	NA	NA	NA
>HMPREF9087_1599 carbamate kinase [Enterococcus casseliflavus ATCC 12755]	NA	NA	NA	11025600	833191	958564
>HMPREF9087_1620 ABC transporter, solute-binding protein [Enterococcus casseliflavus ATCC 12755]	106942000	54175000	35987900	26133700	26683900	29120700
>HMPREF9087_2701 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	NA	NA	NA	NA	NA	NA
>HMPREF9087_3073 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	NA	NA	460179000	NA	NA	NA
>HMPREF9088_0148 hypothetical protein [Enterococcus italicus DSM 15952]	NA	NA	NA	254255000	238656000	250160000
>HMPREF9088_1600 proline--tRNA ligase [Enterococcus italicus DSM 15952]	NA	NA	NA	NA	NA	NA
>HMPREF9093_01544 hypothetical protein [Fusobacterium sp. oral taxon 370 str. F0437]	NA	NA	NA	NA	238656000	NA
>HMPREF9093_02261 hypothetical protein [Fusobacterium sp. oral taxon 370 str. F0437]	NA	NA	460179000	254255000	NA	NA
>HMPREF9095_0556 hypothetical protein [Haemophilus aegyptius ATCC 11116]	NA	NA	NA	254255000	238656000	250160000
>HMPREF9095_0875 DNA mismatch repair protein MutL [Haemophilus aegyptius ATCC 11116]	NA	NA	NA	100081000	47450500	32866100
>HMPREF9095_0963 hypothetical protein [Haemophilus aegyptius ATCC 11116]	NA	NA	NA	254255000	NA	NA
>HMPREF9095_1012 hypothetical protein [Haemophilus aegyptius ATCC 11116]	NA	NA	NA	NA	NA	NA
>HMPREF9095_1355 RDD family protein [Haemophilus aegyptius ATCC 11116]	15497000	6995520	19382300	5322910	3199190	6829270
>HMPREF9095_1465 L-serine ammonia-lyase [Haemophilus aegyptius ATCC 11116]	NA	NA	NA	NA	6865240	NA
>HMPREF9095_1594 ribosomal large subunit pseudouridine synthase D [Haemophilus aegyptius ATCC 11116]	NA	NA	21238500	5499140	NA	NA
>HMPREF9095_1824 malate dehydrogenase [Haemophilus aegyptius ATCC 11116]	1967460	NA	NA	NA	NA	NA
>HMPREF9096_00760 putative membrane-bound hydrogenase 1 large subunit [Haemophilus sp. oral taxon 851 str. F0397]	NA	NA	68586000	NA	NA	NA
>HMPREF9096_00951 ATPase, AAA family [Haemophilus sp. oral taxon 851 str. F0397]	NA	NA	NA	NA	NA	NA
>HMPREF9096_01369 ABC transporter, solute-binding protein [Haemophilus sp. oral taxon 851 str. F0397]	NA	NA	NA	NA	NA	29120700
>HMPREF9099_00030 C4-dicarboxylate transporter/malic acid transport protein [Lachnospiraceae bacterium oral taxon 082 str. F0431]	NA	NA	NA	NA	NA	NA
>HMPREF9099_00581 dipeptide ABC transporter, ATP-binding protein DppD family protein [Lachnospiraceae bacterium oral taxon 082 str. F0431]	NA	NA	NA	NA	NA	NA
>HMPREF9099_00720 histidine kinase [Lachnospiraceae bacterium oral taxon 082 str. F0431]	NA	NA	NA	NA	2360950	NA
>HMPREF9099_00896 hypothetical protein [Lachnospiraceae bacterium oral taxon 082 str. F0431]	NA	NA	NA	NA	NA	NA
>HMPREF9102_0224 putative biofilm regulatory protein A [Lactobacillus oris F0423]	NA	NA	NA	NA	NA	NA
>HMPREF9102_0391 hypothetical protein [Lactobacillus oris F0423]	623732000	578376000	460179000	254255000	238656000	250160000
>HMPREF9102_0607 cyclic nucleotide-binding domain protein [Lactobacillus oris F0423]	NA	NA	1975400	1127160	NA	936142
>HMPREF9102_0743 hypothetical protein [Lactobacillus oris F0423]	NA	NA	NA	NA	NA	NA
>HMPREF9102_0909 UDP-N-acetylmuramate--L-alanine ligase [Lactobacillus oris F0423]	NA	NA	NA	6813690	2683100	3799310
>HMPREF9102_1420 amino acid permease [Lactobacillus oris F0423]	NA	NA	NA	NA	NA	NA
>HMPREF9103_00607 DNA internalization competence protein ComEC/Rec2-like protein [Lactobacillus parafarraginis F0439]	NA	NA	NA	NA	47450500	NA
>HMPREF9103_01105 CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase [Lactobacillus parafarraginis F0439]	NA	NA	NA	NA	NA	NA
>HMPREF9103_01410 tautomerase enzyme family protein [Lactobacillus parafarraginis F0439]	NA	NA	NA	NA	121129	NA
>HMPREF9103_01831 glycosyl hydrolase family 3 protein [Lactobacillus parafarraginis F0439]	NA	NA	NA	NA	NA	NA
>HMPREF9103_02573 segregation protein SMC [Lactobacillus parafarraginis F0439]	69717500	52238700	21520200	11255700	22471200	12275700
>HMPREF9103_02645 DNA protecting protein DprA [Lactobacillus parafarraginis F0439]	30377400	NA	NA	100081000	47450500	32866100
>HMPREF9104_00039 hypothetical protein [Lactobacillus kisonensis F0435]	NA	NA	NA	NA	NA	NA
>HMPREF9104_01563 PAP2 family protein [Lactobacillus kisonensis F0435]	8707910	6264640	7037600	1549770	NA	NA
>HMPREF9120_00532 PIN domain protein [Neisseria sp. oral taxon 020 str. F0370]	851262	7446420	1299720	13678600	669087	121816
>HMPREF9120_01213 outer membrane protein assembly complex, YaeT protein [Neisseria sp. oral taxon 020 str. F0370]	NA	NA	NA	25010900	NA	16083100
>HMPREF9120_01331 squalene-associated FAD-dependent desaturase [Neisseria sp. oral taxon 020 str. F0370]	NA	NA	NA	NA	NA	NA
>HMPREF9120_01773 septum formation protein Maf [Neisseria sp. oral taxon 020 str. F0370]	NA	NA	NA	NA	4528970	NA
>HMPREF9123_0382 hypothetical protein [Neisseria bacilliformis ATCC BAA-1200]	NA	NA	NA	NA	238656000	NA
>HMPREF9123_0565 AMP-binding enzyme family protein [Neisseria bacilliformis ATCC BAA-1200]	NA	90093200	NA	NA	NA	NA
>HMPREF9123_1708 phage integrase family site-specific recombinase [Neisseria bacilliformis ATCC BAA-1200]	NA	NA	NA	NA	NA	7346670
>HMPREF9124_0502 glycosyl hydrolase family 2, TIM barrel domain protein [Oribacterium sp. oral taxon 108 str. F0425]	NA	NA	NA	11429100	5415280	4654260
>HMPREF9124_0759 transcriptional regulator, LacI family [Oribacterium sp. oral taxon 108 str. F0425]	NA	NA	NA	46707700	NA	NA
>HMPREF9124_1493 alanine--tRNA ligase [Oribacterium sp. oral taxon 108 str. F0425]	NA	NA	NA	NA	NA	NA
>HMPREF9124_2117 ThiF family protein [Oribacterium sp. oral taxon 108 str. F0425]	986304	2062100	NA	1426930	259818	NA
>HMPREF9126_0099 hypothetical protein [Parvimonas sp. oral taxon 110 str. F0139]	NA	NA	NA	254255000	238656000	250160000
>HMPREF9126_0143 DNA-binding protein HU [Parvimonas sp. oral taxon 110 str. F0139]	NA	NA	16642400	4466620	NA	NA
