ID	feature_category
>HMPREF9056_00623 dihydrodipicolinate synthase [Actinomyces sp. oral taxon 170 str. F0386]	bacteria
>HMPREF9056_01927 HAD hydrolase, family IIA [Actinomyces sp. oral taxon 170 str. F0386]	bacteria
>HMPREF9056_02209 methyltransferase domain protein [Actinomyces sp. oral taxon 170 str. F0386]	bacteria
>HMPREF9056_02605 TadE-like protein [Actinomyces sp. oral taxon 170 str. F0386]	bacteria
>HMPREF9056_02888 phosphopyruvate hydratase [Actinomyces sp. oral taxon 170 str. F0386]	bacteria
>HMPREF9056_03006 hypothetical protein [Actinomyces sp. oral taxon 170 str. F0386]	bacteria
>HMPREF9057_01118 glycosyltransferase, group 1 family protein [Actinomyces sp. oral taxon 171 str. F0337]	bacteria
>HMPREF9057_01292 kinase domain protein [Actinomyces sp. oral taxon 171 str. F0337]	bacteria
>HMPREF9058_1044 glycosyltransferase, group 2 family protein [Actinomyces sp. oral taxon 175 str. F0384]	bacteria
>HMPREF9058_1884 conserved domain protein [Actinomyces sp. oral taxon 175 str. F0384]	bacteria
>HMPREF9058_2093 transcriptional regulator, DeoR family [Actinomyces sp. oral taxon 175 str. F0384]	bacteria
>HMPREF9058_2442 3-dehydroquinate synthase [Actinomyces sp. oral taxon 175 str. F0384]	bacteria
>HMPREF9058_2546 hypothetical protein [Actinomyces sp. oral taxon 175 str. F0384]	bacteria
>HMPREF9061_00555 hypothetical protein [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9061_00813 putative 2,5-diketo-D-gluconic acid reductase A [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9061_00828 chaperone protein DnaK [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9061_01467 3-dehydroquinate synthase [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9061_01478 putative primosomal protein [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9061_01573 [glutamate--ammonia-ligase] adenylyltransferase [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9061_01680 ABC transporter, permease protein [Actinomyces sp. oral taxon 181 str. F0379]	bacteria
>HMPREF9062_0113 hypothetical protein [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_0309 hypothetical protein [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_0669 chaperone GroEL [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_0760 NADP-specific glutamate dehydrogenase [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_1205 PTS family porter, enzyme I [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_1214 hypothetical protein [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_1528 AAA family ATPase [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_1575 glyceraldehyde-3-phosphate dehydrogenase [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9062_2142 1,4-alpha-glucan branching enzyme [Actinomyces sp. oral taxon 448 str. F0400]	bacteria
>HMPREF9064_1598 arginine ABC superfamily ATP binding cassette transporter, permease protein [Aggregatibacter segnis ATCC 33393]	bacteria
>HMPREF9071_0646 tetratricopeptide repeat-containing domain protein [Capnocytophaga sp. oral taxon 338 str. F0234]	bacteria
>HMPREF9071_2054 hypothetical protein [Capnocytophaga sp. oral taxon 338 str. F0234]	bacteria
>HMPREF9071_2243 hypothetical protein [Capnocytophaga sp. oral taxon 338 str. F0234]	bacteria
>HMPREF9071_2411 rhs family protein [Capnocytophaga sp. oral taxon 338 str. F0234]	bacteria
>HMPREF9072_00502 hypothetical protein [Capnocytophaga sp. oral taxon 324 str. F0483]	bacteria
>HMPREF9072_01387 hypothetical protein [Capnocytophaga sp. oral taxon 324 str. F0483]	bacteria
>HMPREF9072_01693 hypothetical protein [Capnocytophaga sp. oral taxon 324 str. F0483]	bacteria
>HMPREF9073_01540 ABC-2 type transporter [Capnocytophaga sp. oral taxon 326 str. F0382]	bacteria
>HMPREF9075_00715 preprotein translocase, SecY subunit [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9075_00732 hypothetical protein [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9075_00878 hypothetical protein [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9075_01705 Acyltransferase [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9075_01971 ATP-grasp domain protein [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9075_02369 FAD dependent oxidoreductase [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9075_02690 hypothetical protein [Capnocytophaga sp. oral taxon 332 str. F0381]	bacteria
>HMPREF9080_00004 ribosomal protein L9 [Cardiobacterium valvarum F0432]	bacteria
>HMPREF9080_01580 pilin [Cardiobacterium valvarum F0432]	bacteria
>HMPREF9081_0356 hypothetical protein [Centipeda periodontii DSM 2778]	bacteria
>HMPREF9086_0007 YhiR family protein [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_0729 transposase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_1602 outer membrane pore protein E [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_1959 arginine deiminase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_2186 glucose-6-phosphate isomerase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_2730 glyceraldehyde-3-phosphate dehydrogenase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_3354 hypothetical protein [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_3727 YciF like protein [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_3777 D-3-phosphoglycerate dehydrogenase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_3819 DNA (cytosine-5-)-methyltransferase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_4053 toluene tolerance efflux ABC superfamily ATP binding cassette transporter, binding protein [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_4371 phosphomannomutase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9086_4587 DNA modification methylase [Enterobacter hormaechei ATCC 49162]	bacteria
>HMPREF9087_0253 Cof-like hydrolase [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_1016 acetyltransferase, GNAT family [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_1269 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_1596 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_1599 carbamate kinase [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_1620 ABC transporter, solute-binding protein [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_2701 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9087_3073 hypothetical protein [Enterococcus casseliflavus ATCC 12755]	bacteria
>HMPREF9088_0148 hypothetical protein [Enterococcus italicus DSM 15952]	bacteria
>HMPREF9088_1600 proline--tRNA ligase [Enterococcus italicus DSM 15952]	bacteria
>HMPREF9093_01544 hypothetical protein [Fusobacterium sp. oral taxon 370 str. F0437]	bacteria
>HMPREF9093_02261 hypothetical protein [Fusobacterium sp. oral taxon 370 str. F0437]	bacteria
>HMPREF9095_0556 hypothetical protein [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_0875 DNA mismatch repair protein MutL [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_0963 hypothetical protein [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_1012 hypothetical protein [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_1355 RDD family protein [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_1465 L-serine ammonia-lyase [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_1594 ribosomal large subunit pseudouridine synthase D [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9095_1824 malate dehydrogenase [Haemophilus aegyptius ATCC 11116]	bacteria
>HMPREF9096_00760 putative membrane-bound hydrogenase 1 large subunit [Haemophilus sp. oral taxon 851 str. F0397]	bacteria
>HMPREF9096_00951 ATPase, AAA family [Haemophilus sp. oral taxon 851 str. F0397]	bacteria
>HMPREF9096_01369 ABC transporter, solute-binding protein [Haemophilus sp. oral taxon 851 str. F0397]	bacteria
>HMPREF9099_00030 C4-dicarboxylate transporter/malic acid transport protein [Lachnospiraceae bacterium oral taxon 082 str. F0431]	bacteria
>HMPREF9099_00581 dipeptide ABC transporter, ATP-binding protein DppD family protein [Lachnospiraceae bacterium oral taxon 082 str. F0431]	bacteria
>HMPREF9099_00720 histidine kinase [Lachnospiraceae bacterium oral taxon 082 str. F0431]	bacteria
>HMPREF9099_00896 hypothetical protein [Lachnospiraceae bacterium oral taxon 082 str. F0431]	bacteria
>HMPREF9102_0224 putative biofilm regulatory protein A [Lactobacillus oris F0423]	bacteria
>HMPREF9102_0391 hypothetical protein [Lactobacillus oris F0423]	bacteria
>HMPREF9102_0607 cyclic nucleotide-binding domain protein [Lactobacillus oris F0423]	bacteria
>HMPREF9102_0743 hypothetical protein [Lactobacillus oris F0423]	bacteria
>HMPREF9102_0909 UDP-N-acetylmuramate--L-alanine ligase [Lactobacillus oris F0423]	bacteria
>HMPREF9102_1420 amino acid permease [Lactobacillus oris F0423]	bacteria
>HMPREF9103_00607 DNA internalization competence protein ComEC/Rec2-like protein [Lactobacillus parafarraginis F0439]	bacteria
>HMPREF9103_01105 CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase [Lactobacillus parafarraginis F0439]	bacteria
>HMPREF9103_01410 tautomerase enzyme family protein [Lactobacillus parafarraginis F0439]	bacteria
>HMPREF9103_01831 glycosyl hydrolase family 3 protein [Lactobacillus parafarraginis F0439]	bacteria
>HMPREF9103_02573 segregation protein SMC [Lactobacillus parafarraginis F0439]	bacteria
>HMPREF9103_02645 DNA protecting protein DprA [Lactobacillus parafarraginis F0439]	bacteria
>HMPREF9104_00039 hypothetical protein [Lactobacillus kisonensis F0435]	bacteria
>HMPREF9104_01563 PAP2 family protein [Lactobacillus kisonensis F0435]	bacteria
>HMPREF9120_00532 PIN domain protein [Neisseria sp. oral taxon 020 str. F0370]	bacteria
>HMPREF9120_01213 outer membrane protein assembly complex, YaeT protein [Neisseria sp. oral taxon 020 str. F0370]	bacteria
>HMPREF9120_01331 squalene-associated FAD-dependent desaturase [Neisseria sp. oral taxon 020 str. F0370]	bacteria
>HMPREF9120_01773 septum formation protein Maf [Neisseria sp. oral taxon 020 str. F0370]	bacteria
>HMPREF9123_0382 hypothetical protein [Neisseria bacilliformis ATCC BAA-1200]	bacteria
>HMPREF9123_0565 AMP-binding enzyme family protein [Neisseria bacilliformis ATCC BAA-1200]	bacteria
>HMPREF9123_1708 phage integrase family site-specific recombinase [Neisseria bacilliformis ATCC BAA-1200]	bacteria
>HMPREF9124_0502 glycosyl hydrolase family 2, TIM barrel domain protein [Oribacterium sp. oral taxon 108 str. F0425]	bacteria
>HMPREF9124_0759 transcriptional regulator, LacI family [Oribacterium sp. oral taxon 108 str. F0425]	bacteria
>HMPREF9124_1493 alanine--tRNA ligase [Oribacterium sp. oral taxon 108 str. F0425]	bacteria
>HMPREF9124_2117 ThiF family protein [Oribacterium sp. oral taxon 108 str. F0425]	bacteria
>HMPREF9126_0099 hypothetical protein [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_0143 DNA-binding protein HU [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_0225 glycine reductase, subunit ABC [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_0226 glycine/sarcosine/betaine reductase complex protein A [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_0558 L-asparaginase, type I [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_0643 efflux ABC transporter, permease protein [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_0683 exodeoxyribonuclease VII, small subunit [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9126_1171 acetyltransferase, GNAT family [Parvimonas sp. oral taxon 110 str. F0139]	bacteria
>HMPREF9127_1399 glycine cleavage system H protein [Parvimonas sp. oral taxon 393 str. F0440]	bacteria
>HMPREF9129_0240 IclR family transcriptional regulator [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9129_0257 hypothetical protein [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9129_0456 bifunctional purine biosynthesis protein PurH [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9129_1249 fructose-6-phosphate aldolase 2 [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9129_1644 phage membrane protein [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9129_2029 ABC superfamily ATP binding cassette transporter, ABC protein [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9129_2164 YbaK/prolyl-tRNA synthetase domain protein [Peptoniphilus indolicus ATCC 29427]	bacteria
>HMPREF9130_0242 sodium:neurotransmitter symporter domain protein [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_0440 3-methyladenine DNA glycosylase [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_1187 hypothetical protein [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_1458 Na+/H+ antiporter NhaC [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_1852 ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_1870 phosphoglycerate mutase family protein [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_1992 DNA polymerase III, alpha subunit, Gram-positive type [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9130_2046 putative chromosome segregation protein SMC [Peptoniphilus sp. oral taxon 375 str. F0436]	bacteria
>HMPREF9131_0233 response regulator protein VraR [Peptoniphilus sp. oral taxon 836 str. F0141]	bacteria
>HMPREF9131_1039 transcriptional regulator, LuxR family [Peptoniphilus sp. oral taxon 836 str. F0141]	bacteria
>HMPREF9131_1040 transcriptional regulator, LacI family [Peptoniphilus sp. oral taxon 836 str. F0141]	bacteria
>HMPREF9131_1654 DNA-directed RNA polymerase, beta' subunit [Peptoniphilus sp. oral taxon 836 str. F0141]	bacteria
>HMPREF9134_00401 S-adenosylmethionine-dependent methyltransferase, YraL family [Porphyromonas catoniae F0037]	bacteria
>HMPREF9134_01653 MutS2 family protein [Porphyromonas catoniae F0037]	bacteria
>HMPREF9135_0533 peptidase, M23 family [Prevotella baroniae F0067]	bacteria
>HMPREF9135_0576 5-nitroimidazole antibiotic resistance protein NimB [Prevotella baroniae F0067]	bacteria
>HMPREF9135_0648 hypothetical protein [Prevotella baroniae F0067]	bacteria
>HMPREF9135_0867 glycoside hydrolase, family 26 [Prevotella baroniae F0067]	bacteria
>HMPREF9135_1119 carbohydrate kinase, PfkB family [Prevotella baroniae F0067]	bacteria
>HMPREF9135_1468 sigma-70, region 4 [Prevotella baroniae F0067]	bacteria
>HMPREF9135_1623 peptidase C10 family protein [Prevotella baroniae F0067]	bacteria
>HMPREF9135_2212 alpha amylase, C-terminal all-beta domain protein [Prevotella baroniae F0067]	bacteria
>HMPREF9135_2345 shikimate kinase [Prevotella baroniae F0067]	bacteria
>HMPREF9136_0154 DNA repair protein RecN [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_0208 glycosyltransferase [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_0251 hypothetical protein [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_0340 glutathione peroxidase [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_0388 TonB family domain protein [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_1118 hypothetical protein [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_1598 ATP synthase F1 sector beta subunit [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_1800 alpha-galactosidase [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_1829 hypothetical protein [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_1928 alanine dehydrogenase [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_2266 DNA recombination protein RmuC [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9136_2494 amidophosphoribosyltransferase [Prevotella dentalis DSM 3688]	bacteria
>HMPREF9137_0109 protein ExsB [Prevotella denticola F0289]	bacteria
>HMPREF9137_1729 site-specific recombinase, phage integrase family [Prevotella denticola F0289]	bacteria
>HMPREF9137_2332 dihydrodipicolinate synthase [Prevotella denticola F0289]	bacteria
>HMPREF9138_00165 hypothetical protein [Prevotella histicola F0411]	bacteria
>HMPREF9138_01235 hypothetical protein [Prevotella histicola F0411]	bacteria
>HMPREF9138_01467 hypothetical protein [Prevotella histicola F0411]	bacteria
>HMPREF9138_01658 hypothetical protein [Prevotella histicola F0411]	bacteria
>HMPREF9138_02234 hypothetical protein [Prevotella histicola F0411]	bacteria
>HMPREF9140_00016 hypothetical protein [Prevotella micans F0438]	bacteria
>HMPREF9140_00469 hypothetical protein [Prevotella micans F0438]	bacteria
>HMPREF9140_00524 pyridoxal biosynthesis lyase pdxS [Prevotella micans F0438]	bacteria
>HMPREF9140_00886 hypothetical protein [Prevotella micans F0438]	bacteria
>HMPREF9140_01856 hypothetical protein [Prevotella micans F0438]	bacteria
>HMPREF9141_0798 DNA-binding helix-turn-helix protein [Prevotella multiformis DSM 16608]	bacteria
>HMPREF9141_2279 hypothetical protein [Prevotella multiformis DSM 16608]	bacteria
>HMPREF9144_0055 hypothetical protein [Prevotella pallens ATCC 700821]	bacteria
>HMPREF9144_0263 type II restriction enzyme HgAI [Prevotella pallens ATCC 700821]	bacteria
>HMPREF9144_1873 hypothetical protein [Prevotella pallens ATCC 700821]	bacteria
>HMPREF9145_0064 hypothetical protein [Prevotella salivae F0493]	bacteria
>HMPREF9145_0284 peptidase T [Prevotella salivae F0493]	bacteria
>HMPREF9145_0484 50S ribosomal protein L6 [Prevotella salivae F0493]	bacteria
>HMPREF9145_1427 putative lipoprotein [Prevotella salivae F0493]	bacteria
>HMPREF9145_2365 putative phosphoserine transaminase [Prevotella salivae F0493]	bacteria
>HMPREF9151_00116 hypothetical protein [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_00609 alpha-2-macroglobulin family protein [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_00728 ribosomal protein L9 [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_00825 SusD family protein [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_01269 efflux transporter, RND family, MFP subunit [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_01297 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_01427 TrkA protein [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_01723 putative oxidative stress regulatory protein OxyR [Prevotella saccharolytica F0055]	bacteria
>HMPREF9151_01886 hypothetical protein [Prevotella saccharolytica F0055]	bacteria
>HMPREF9153_0338 ribonuclease H [Propionibacterium avidum ATCC 25577]	bacteria
>HMPREF9153_0749 hypothetical protein [Propionibacterium avidum ATCC 25577]	bacteria
>HMPREF9153_1072 histidinol-phosphate transaminase [Propionibacterium avidum ATCC 25577]	bacteria
>HMPREF9153_1583 glutamyl-Q tRNA(Asp) synthetase [Propionibacterium avidum ATCC 25577]	bacteria
>HMPREF9154_0919 fructose-bisphosphate aldolase, class II [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9154_1067 glyceraldehyde-3-phosphate dehydrogenase, type I [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9154_1434 thioredoxin [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9154_2286 translation elongation factor Tu [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9154_2479 hypothetical protein [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9154_2708 hypothetical protein [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9154_3160 ferritin-like protein [Propionibacterium propionicum F0230a]	bacteria
>HMPREF9156_00390 hypothetical protein [Scardovia wiggsiae F0424]	bacteria
>HMPREF9156_00604 pullulanase, type I [Scardovia wiggsiae F0424]	bacteria
>HMPREF9156_00808 ParB-like partition protein [Scardovia wiggsiae F0424]	bacteria
>HMPREF9156_01107 ribose-phosphate pyrophosphokinase [Scardovia wiggsiae F0424]	bacteria
>HMPREF9156_01126 DNA protecting protein DprA [Scardovia wiggsiae F0424]	bacteria
>HMPREF9161_00126 hypothetical protein [Selenomonas sp. F0473]	bacteria
>HMPREF9161_00324 alanine-tRNA ligase [Selenomonas sp. F0473]	bacteria
>HMPREF9162_0104 phage capsid family [Selenomonas sp. oral taxon 137 str. F0430]	bacteria
>HMPREF9162_1170 Ser/Thr phosphatase family protein [Selenomonas sp. oral taxon 137 str. F0430]	bacteria
>HMPREF9163_00602 fumarate hydratase, class II [Selenomonas sp. oral taxon 138 str. F0429]	bacteria
>HMPREF9163_01699 hypothetical protein [Selenomonas sp. oral taxon 138 str. F0429]	bacteria
>HMPREF9166_1153 ABC transporter, ATP-binding protein [Selenomonas sp. oral taxon 149 str. 67H29BP]	bacteria
>HMPREF9166_1514 hypothetical protein [Selenomonas sp. oral taxon 149 str. 67H29BP]	bacteria
>HMPREF9166_2125 ribosome biogenesis GTPase Era [Selenomonas sp. oral taxon 149 str. 67H29BP]	bacteria
>HMPREF9171_0163 glycosyltransferase, family 8 [Streptococcus agalactiae ATCC 13813]	bacteria
>HMPREF9171_0913 ATP-dependent Clp protease, ATP-binding subunit ClpX [Streptococcus agalactiae ATCC 13813]	bacteria
>HMPREF9171_1375 hypothetical protein [Streptococcus agalactiae ATCC 13813]	bacteria
>HMPREF9171_1446 nisin biosynthesis protein NisC [Streptococcus agalactiae ATCC 13813]	bacteria
>HMPREF9171_1679 DNA-binding helix-turn-helix protein [Streptococcus agalactiae ATCC 13813]	bacteria
>HMPREF9171_1936 type I site-specific deoxyribonuclease, HsdR family [Streptococcus agalactiae ATCC 13813]	bacteria
>HMPREF9176_0778 hydrolase, P-loop family [Streptococcus downei F0415]	bacteria
>HMPREF9176_1138 ISSag3, transposase [Streptococcus downei F0415]	bacteria
>HMPREF9176_1200 ABC transporter, ATP-binding protein [Streptococcus downei F0415]	bacteria
>HMPREF9176_1248 exonuclease SbcCD, C subunit [Streptococcus downei F0415]	bacteria
>HMPREF9176_1545 bifunctional protein FolC [Streptococcus downei F0415]	bacteria
>HMPREF9178_0183 protein-(glutamine-N5) methyltransferase, release factor-specific [Streptococcus mitis bv. 2 str. F0392]	bacteria
>HMPREF9178_1280 rRNA large subunit m3Psi methyltransferase RlmH [Streptococcus mitis bv. 2 str. F0392]	bacteria
>HMPREF9180_0194 nisin biosynthesis regulatory protein NisR [Streptococcus peroris ATCC 700780]	bacteria
>HMPREF9180_0336 hypothetical protein [Streptococcus peroris ATCC 700780]	bacteria
>HMPREF9180_0602 HAD hydrolase, TIGR01457 family [Streptococcus peroris ATCC 700780]	bacteria
>HMPREF9182_0636 hypothetical protein [Streptococcus sp. oral taxon 056 str. F0418]	bacteria
>HMPREF9182_1137 hypothetical protein [Streptococcus sp. oral taxon 056 str. F0418]	bacteria
>HMPREF9182_1544 glutamine synthetase, type I [Streptococcus sp. oral taxon 056 str. F0418]	bacteria
>HMPREF9182_1972 hypothetical protein [Streptococcus sp. oral taxon 056 str. F0418]	bacteria
>HMPREF9184_01449 efflux ABC transporter, permease protein [Streptococcus sp. oral taxon 058 str. F0407]	bacteria
>HMPREF9186_00474 hypothetical protein [Streptococcus sp. F0442]	bacteria
>HMPREF9188_01296 hypothetical protein [Streptococcus sp. F0441]	bacteria
>HMPREF9192_0238 ABC transporter, permease protein [Streptococcus vestibularis F0396]	bacteria
>HMPREF9192_0284 HAD hydrolase, family IA, variant 3 [Streptococcus vestibularis F0396]	bacteria
>HMPREF9192_1166 divergent AAA domain protein [Streptococcus vestibularis F0396]	bacteria
>HMPREF9192_1470 phospholipase D domain protein [Streptococcus vestibularis F0396]	bacteria
>HMPREF9194_00417 hypothetical protein [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_00829 chaperone ClpB [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_00963 hypothetical protein [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_01025 hypothetical protein [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_01136 replicative DNA helicase [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_01272 hypothetical protein [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_01649 UvrABC system protein B [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9194_01980 adenylate kinase [Treponema maltophilum ATCC 51939]	bacteria
>HMPREF9195_00152 hypothetical protein [Treponema medium ATCC 700293]	bacteria
>HMPREF9195_00385 flagellar filament core protein [Treponema medium ATCC 700293]	bacteria
>HMPREF9195_01150 arginine deiminase [Treponema medium ATCC 700293]	bacteria
>HMPREF9195_01236 flagellar filament core protein [Treponema medium ATCC 700293]	bacteria
>HMPREF9195_02104 hypothetical protein [Treponema medium ATCC 700293]	bacteria
>HMPREF9195_02140 hypothetical protein [Treponema medium ATCC 700293]	bacteria
>HMPREF9195_02250 hypothetical protein [Treponema medium ATCC 700293]	bacteria
>HMPREF9199_0759 Ser/Thr phosphatase family protein [Veillonella sp. oral taxon 158 str. F0412]	bacteria
>HMPREF9200_0571 thiol reductant ABC exporter, CydD subunit [Veillonella sp. oral taxon 780 str. F0422]	bacteria
>HMPREF9331_01772 hypothetical protein [Capnocytophaga granulosa ATCC 51502]	bacteria
>HMPREF9332_00351 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9332_00915 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9332_01204 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9332_01207 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9332_01254 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9332_01282 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9332_01903 hypothetical protein [Alloprevotella rava F0323]	bacteria
>HMPREF9333_00348 hypothetical protein [Johnsonella ignava ATCC 51276]	bacteria
>HMPREF9333_00654 hypothetical protein [Johnsonella ignava ATCC 51276]	bacteria
>HMPREF9333_00873 hypothetical protein [Johnsonella ignava ATCC 51276]	bacteria
>HMPREF9333_01177 hypothetical protein [Johnsonella ignava ATCC 51276]	bacteria
>HMPREF9334_00424 glutamate-5-semialdehyde dehydrogenase [Selenomonas infelix ATCC 43532]	bacteria
>HMPREF9334_01749 hypothetical protein [Selenomonas infelix ATCC 43532]	bacteria
>HMPREF9335_00138 dihydrolipoyl dehydrogenase [Aggregatibacter aphrophilus F0387]	bacteria
>HMPREF9335_00978 hypothetical protein [Aggregatibacter aphrophilus F0387]	bacteria
>HMPREF9335_01677 3-deoxy-D-manno-octulosonic acid kinase [Aggregatibacter aphrophilus F0387]	bacteria
>HMPREF9335_01917 hypothetical protein [Aggregatibacter aphrophilus F0387]	bacteria
>HMPREF9335_01980 DNA translocase ftsK [Aggregatibacter aphrophilus F0387]	bacteria
>HMPREF9353_00718 outer membrane protein assembly complex [Treponema denticola F0402]	bacteria
